test,group,n,days,biggest_day_share_pct,reach_5pt_pct,reach_10pt_pct,reach_20pt_pct,reach_30pt_pct,reach_50pt_pct
BASE,ALL_ALERTED,3619,,,72.0,51.3,27.4,17.0,8.7
T1_PATTERN,OI_BUILD|REGIME_TRENDING|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,259,3,70.7,88.4,69.9,43.6,29.7,13.5
T1_PATTERN,OI_WEAK|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_STRONG|VWAP_BELOW,239,3,79.9,66.9,51.0,37.2,26.4,16.3
T1_PATTERN,OI_WEAK|REGIME_TRENDING|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,224,2,71.4,61.6,35.3,9.8,6.7,1.8
T1_PATTERN,OI_BUILD|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_STRONG|VWAP_ABOVE,195,1,100.0,67.2,50.8,35.4,27.7,15.9
T1_PATTERN,OI_BUILD|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_STRONG|VWAP_BELOW,128,2,64.8,53.9,36.7,27.3,16.4,9.4
T1_PATTERN,OI_BUILD|REGIME_TRENDING|SESSION_NORMAL|TREND_STRONG|VWAP_BELOW,123,3,67.5,91.9,78.0,50.4,31.7,18.7
T1_PATTERN,OI_BUILD|REGIME_HIGH_MOMENTUM|SESSION_NORMAL|TREND_STRONG|VWAP_BELOW,102,3,52.9,93.1,66.7,41.2,25.5,11.8
T1_PATTERN,OI_WEAK|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_WEAK|VWAP_BELOW,82,2,51.2,62.2,52.4,35.4,25.6,17.1
T1_PATTERN,OI_BUILD|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_WEAK|VWAP_BELOW,82,1,100.0,69.5,59.8,46.3,31.7,19.5
T1_PATTERN,OI_WEAK|REGIME_HIGH_MOMENTUM|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,54,1,100.0,68.5,40.7,13.0,3.7,0.0
T1_PATTERN,OI_WEAK|REGIME_RANGE_BOUND|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,50,3,50.0,64.0,38.0,18.0,6.0,0.0
T1_PATTERN,OI_BUILD|REGIME_RANGE_BOUND|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,49,3,38.8,57.1,36.7,14.3,4.1,0.0
T1_PATTERN,OI_BUILD|REGIME_HIGH_MOMENTUM|SESSION_NORMAL|TREND_STRONG|VWAP_ABOVE,46,1,100.0,100.0,91.3,58.7,37.0,23.9
T1_PATTERN,OI_WEAK|REGIME_EXPIRY_PINNING|SESSION_EXPIRY|TREND_WEAK|VWAP_ABOVE,38,2,94.7,65.8,50.0,36.8,15.8,2.6
T4_REGIME_POOLED,EXPIRY_PINNING,1096,4,,56.7,42.7,28.6,18.7,10.6
T4_REGIME_POOLED,TRENDING,726,7,,78.0,58.3,32.9,22.5,11.8
T4_REGIME_POOLED,HIGH_MOMENTUM,229,5,,86.9,65.1,39.3,23.1,11.4
T4_REGIME_POOLED,RANGE_BOUND,146,3,,65.1,41.8,20.5,8.9,4.1
T4_REGIME_POOLED,LOW_MOMENTUM,28,1,,60.7,32.1,14.3,10.7,0.0
